quality;filename;position
10;19Y7C;8
20;M18RR;18
30;C0EBW;13
40;JRCHM;16
50;9ET7Y;6
60;9UA82;7
70;LL5LV;17
80;D5R1B;14
90;UOZSV;20
100;1ER00;2
10;5WP0X;3
20;TD1AF;19
30;6GQBF;4
40;AKX23;10
50;76QVY;9
60;BBXUS;11
70;BVWSX;12
80;0YMSX;1
90;JL0XF;15
100;7RCSU;5
