;gender;date;hitCreationDate;householdIncome;householdSize;locationCity;locationCountry;locationRegion;maritalStatus;postToCompletionSecs;workerId;yearOfBirth
821;female;2020-10-22 22:50:23.097;2020-10-22 22:48:11.000;$10,000-$14,999;4;des moines;US;ia;married;132;0adaf7796fe3618e88509237795f3b2d;1978
822;female;2020-10-22 22:23:48.188;2020-10-22 22:18:00.000;Less than $10,000;3;chennai;IN;tn;married;348;4938b1929716963d9a28f269d4d6bded;1990
823;male;2020-10-22 22:17:01.032;2020-10-22 22:03:00.000;$40,000-$59,999;1;los angeles;US;ca;single;841;b1f1fe34b2b18cf8265c2ecfe9e15995;1990
824;male;2020-10-22 21:50:14.663;2020-10-22 21:48:01.000;$100,000 or more;1;secaucus;US;nj;single;133;8ce27a10a34cb06d19dd793f6e54b55a;1972
825;male;2020-10-22 21:36:55.309;2020-10-22 20:18:00.000;$25,000-$39,999;4;monroeville;US;pa;married;4735;3b837a042e697d2993ad1ac24c30a7b3;1990
826;female;2020-10-22 21:33:41.776;2020-10-22 21:33:01.000;$75,000-$99,999;3;chennai;IN;tn;single;40;e2edb2010a529f775888d1818a7ac527;1986
827;female;2020-10-22 21:27:47.664;2020-10-22 21:03:01.000;$100,000 or more;2;clovis;US;ca;married;1486;f95c7e5e12d6c61ec78d0c700bbe6dd0;1961
828;male;2020-10-22 21:19:26.661;2020-10-22 21:18:00.000;$15,000-$24,999;4;washington;US;va;single;86;24035ca9e3bbb2f8dafdb41de12baf84;1998
829;male;2020-10-22 20:49:20.092;2020-10-22 20:48:01.000;$15,000-$24,999;3;kochi;IN;kl;married;79;957fa364c47f5cbeaea265a16cb2cfd2;1987
830;female;2020-10-22 20:38:53.565;2020-10-22 20:33:01.000;$100,000 or more;2;troy;US;ny;cohabitating;352;aa5d4fb33b04daf7c7aec3721b4be6a4;1970
831;male;2020-10-22 20:04:54.642;2020-10-22 20:03:00.000;$15,000-$24,999;3;canonsburg;US;pa;married;114;42ea47ec8358c7a4f4949e944f7e4a36;1952
832;female;2020-10-22 20:04:51.452;2020-10-22 18:18:00.000;$100,000 or more;2;rockaway;US;nj;married;6411;24a69c35fce22b7cef1bfab0ec428fb1;1984
833;female;2020-10-22 19:52:19.438;2020-10-22 19:18:00.000;$60,000-$74,999;5+;portland;US;me;single;2059;4a41f30aec9d22a490a15aebb9b24b97;1997
834;female;2020-10-22 19:51:14.982;2020-10-22 19:33:01.000;$40,000-$59,999;1;graniteville;US;sc;single;1093;0f795d5d80f1261d69798c10be682dfd;1994
835;male;2020-10-22 19:51:13.708;2020-10-22 19:48:01.000;$40,000-$59,999;4;portland;US;me;married;192;4a41f30aec9d22a490a15aebb9b24b97;1996
836;female;2020-10-22 19:13:51.928;2020-10-22 17:03:01.000;$40,000-$59,999;5+;new york;US;ny;single;7850;ed39926fb4638ed5ad86e40ebb293b43;1995
837;female;2020-10-22 19:08:26.517;2020-10-22 17:48:00.000;$25,000-$39,999;2;providence;US;ri;cohabitating;4826;2c04a529dc15bac1794c90ace69a395f;1992
838;female;2020-10-22 19:04:24.867;2020-10-22 19:03:01.000;$40,000-$59,999;2;elk city;US;ok;engaged;83;05ea8833c42d664473361a4f571bf927;1994
839;female;2020-10-22 19:02:04.882;2020-10-22 16:18:01.000;$10,000-$14,999;3;mcgaheysville;US;va;single;9843;0783d395faeb64e603a7e1b471e44b81;1967
840;female;2020-10-22 18:53:51.063;2020-10-22 18:48:01.000;$40,000-$59,999;2;linda;US;ca;married;350;5eab6d51446052b890e790739b0ecc0c;1973
841;female;2020-10-22 18:52:06.400;2020-10-22 16:33:01.000;$40,000-$59,999;1;pinellas park;US;fl;single;8345;4e9653ed28d68918066c51e2203be2d2;1951
842;male;2020-10-22 18:43:42.440;2020-10-22 18:33:10.000;Less than $10,000;1;pine bush;US;ny;single;632;8d8c9572fa981349900074fb7f3e9b41;1985
843;female;2020-10-22 18:43:37.444;2020-10-22 18:03:00.000;$40,000-$59,999;2;pomona;US;ca;single;2437;6133c83dd90d016429639ae0f77de371;1974
844;female;2020-10-22 17:37:55.859;2020-10-22 17:33:01.000;$10,000-$14,999;1;portland;US;me;married;294;56ac69fb5fa10363372510c594989ba7;1962
845;male;2020-10-22 17:28:18.620;2020-10-22 17:18:01.000;$15,000-$24,999;3;augusta;US;ga;married;617;72c375b42d2742c7cbb3ffa747844bff;1990
846;male;2020-10-22 16:50:55.342;2020-10-22 16:48:00.000;$25,000-$39,999;3;kochi;IN;kl;married;175;68df241bfe522c7ba2900059376e6b8d;1987
847;female;2020-10-22 16:19:21.118;2020-10-22 16:03:00.000;$40,000-$59,999;4;ashburn;US;va;married;981;7924bb03088b7abeeedf4490acd5422b;1979
848;female;2020-10-22 16:17:16.178;2020-10-22 15:33:01.000;Less than $10,000;4;kochi;IN;kl;single;2655;4dc8412a4c5f54130e0c38b32354fa18;1997
849;male;2020-10-22 15:48:58.204;2020-10-22 15:48:00.000;$40,000-$59,999;3;?;IT;25;single;58;1bdfb0297c43a2fe1bbc34a6ecb27605;1994
850;male;2020-10-22 15:21:14.726;2020-10-22 15:18:00.000;$40,000-$59,999;3;lexington;US;tn;married;194;a11ce3f0721660ef74198afa7bcb3c88;1976
851;male;2020-10-22 15:04:40.559;2020-10-22 12:18:00.000;$40,000-$59,999;4;washington;US;dc;married;10000;e9f129c14640a1e30ec61a7a75d9b9b4;1980
852;female;2020-10-22 15:04:00.682;2020-10-22 15:03:00.000;$100,000 or more;4;berwyn;US;pa;married;60;dd012f975d56b3119418080c24999031;1984
853;male;2020-10-22 14:59:38.962;2020-10-22 14:18:15.000;$60,000-$74,999;5+;new york;US;ny;married;2483;2f427f7d15af6a6e961a4d8ecc836ab9;1991
854;female;2020-10-22 14:49:14.088;2020-10-22 14:48:09.000;$100,000 or more;4;winston-salem;US;nc;married;65;68058eab596c4abf278d64b444cc7def;1984
855;female;2020-10-22 14:46:50.683;2020-10-22 14:33:16.000;$25,000-$39,999;4;new haven;US;ct;single;814;2aa993d6c0307a1e2d727d0d21a6e3ef;1995
856;male;2020-10-22 14:06:31.542;2020-10-22 14:03:03.000;$60,000-$74,999;4;portland;US;or;married;208;1a103695198378c0df6027b085ea1cc1;1988
857;female;2020-10-22 13:56:54.902;2020-10-22 12:48:07.000;$40,000-$59,999;1;plano;US;tx;single;4127;889213e11e0474590bbc8192e8406099;1989
858;male;2020-10-22 13:55:39.874;2020-10-22 13:48:03.000;$60,000-$74,999;3;liverpool;GB;eng;single;456;472c101bcba4348f1b1f4f39f9ce3858;1999
859;female;2020-10-22 13:40:37.422;2020-10-22 13:18:03.000;$40,000-$59,999;4;tahlequah;US;ok;married;1354;9d325dac83e735ffe69b0c51efdcf0d9;1985
860;male;2020-10-22 13:37:47.614;2020-10-22 13:03:11.000;$60,000-$74,999;4;irving;US;ny;married;2076;6045a8008913b86e3c69c4a75e225e77;1995
861;male;2020-10-22 13:35:40.754;2020-10-22 13:33:01.000;$40,000-$59,999;5+;columbus;US;oh;single;159;799d0798df70edc12d4fea72bbdfa4a7;1996
862;female;2020-10-22 12:54:12.293;2020-10-22 12:33:08.000;$60,000-$74,999;4;None;ZZ;None;married;1264;4c87804276b2cb7f405b856eb446c0d1;1980
863;female;2020-10-22 12:51:04.082;2020-10-22 11:18:01.000;$40,000-$59,999;3;rio rancho;US;nm;married;5583;ae0143e5114b04d5e2d8503e0ce85695;1978
864;male;2020-10-22 12:49:45.291;2020-10-22 12:03:07.000;$60,000-$74,999;2;spartanburg;US;sc;married;2798;de55b35f12a43e7ad825d44deb5f4c77;1987
865;female;2020-10-22 12:12:03.120;2020-10-22 11:03:01.000;$75,000-$99,999;2;lewisville;US;tx;married;4142;e38e25cb94fa5facdcdda92984babb50;1960
866;female;2020-10-22 11:52:37.976;;$40,000-$59,999;4;chennai;IN;tn;married;NA;6b0e4e73e612378ae6edeeed04ecfe0c;1985
867;female;2020-10-22 11:52:37.969;2020-10-22 11:48:00.000;$40,000-$59,999;4;chennai;IN;tn;married;277;6b0e4e73e612378ae6edeeed04ecfe0c;1985
868;female;2020-10-22 11:38:48.036;2020-10-22 11:33:01.000;$75,000-$99,999;4;colonial heights;US;va;married;347;e8511a38f00974ed7119d2c32fccb86f;1948
869;male;2020-10-22 10:50:20.523;2020-10-22 10:48:00.000;$25,000-$39,999;5+;chennai;IN;tn;single;140;4286da7702ac9539d403bbeb76ff2754;1993
870;male;2020-10-22 10:41:48.109;2020-10-22 10:33:01.000;$40,000-$59,999;4;rome;IT;62;engaged;527;2a8e32585cc99827e62b8ddc0f95e9e7;1996
871;female;2020-10-22 10:20:44.403;2020-10-22 10:18:01.000;$25,000-$39,999;3;lisbon;PT;11;cohabitating;163;13a65f1b50bd2c308ae7fccb3637391a;1985
872;male;2020-10-22 10:13:17.250;2020-10-22 10:03:01.000;$25,000-$39,999;5+;milan;IT;25;cohabitating;616;f6da467fc8ce8683c88f6c83aa2c8f93;1976
873;female;2020-10-22 09:59:04.524;2020-10-22 09:33:00.000;$25,000-$39,999;1;philadelphia;US;pa;single;1564;64ce909c2f0d263940af7223d44658ab;1976
874;female;2020-10-22 09:51:35.146;2020-10-22 09:48:00.000;$60,000-$74,999;2;kingston;CA;on;cohabitating;215;2daecd4e0641d418de07a31c5dd01476;1986
875;male;2020-10-22 09:37:32.513;2020-10-22 08:33:01.000;$15,000-$24,999;4;sivakasi;IN;tn;married;3871;7b52c5a6185c56f5c0f194e0bd230514;1961
876;male;2020-10-22 09:20:53.723;2020-10-22 08:48:01.000;$100,000 or more;3;darmstadt;US;in;married;1972;e7e87db16a33aee92550f07448ee3101;1991
877;female;2020-10-22 09:19:39.005;2020-10-22 09:18:01.000;$60,000-$74,999;5+;goose creek;US;sc;married;98;8fad03e10ac7816b01ad7d81eed01c7b;1983
878;female;2020-10-22 09:17:04.733;2020-10-22 09:03:09.000;$75,000-$99,999;5+;conroe;US;tx;married;835;12bd90fa6f269b28f6eeb7d6f2e55054;1983
879;male;2020-10-22 09:11:38.401;2020-10-22 08:03:00.000;$75,000-$99,999;1;washington;US;dc;single;4118;731386530da82929a7f42b6a9435900b;1994
880;male;2020-10-22 08:24:41.785;2020-10-22 08:18:00.000;$75,000-$99,999;5+;new york;US;ny;married;401;36f58b4fd5fdfd049414c399d8a494e4;1993
